t,v(t)
0,0
0.02,0.01333333
0.04,0.02666667
0.06,0.04
0.08,0.05333333
0.09999999,0.06666667
0.12,0.08000001
0.14,0.09333334
0.16,0.1066667
0.18,0.12
0.2,0.1333333
0.22,0.1466667
0.24,0.16
0.26,0.1733333
0.28,0.1866667
0.3,0.2
0.32,0.2133334
0.34,0.2266667
0.36,0.24
0.38,0.2533334
0.4,0.2666667
0.42,0.28
0.44,0.2933333
0.46,0.3066666
0.48,0.32
0.5,0.3333333
0.52,0.3466666
0.54,0.3599999
0.56,0.3733332
0.58,0.3866666
0.6,0.3999999
0.62,0.4133332
0.64,0.4266665
0.66,0.4399998
0.68,0.4533332
0.7,0.4666665
0.72,0.4799998
0.74,0.4933331
0.76,0.5066665
0.78,0.5199998
0.8,0.5333331
0.82,0.5466664
0.84,0.5599998
0.86,0.5733331
0.88,0.5866664
0.9,0.5999997
0.92,0.613333
0.94,0.6266664
0.96,0.6399997
0.98,0.653333
1,0.6666663
1.02,0.6799996
1.04,0.693333
1.06,0.7066663
1.08,0.7199996
1.1,0.7333329
1.12,0.7466663
1.14,0.7599996
1.16,0.7733329
1.18,0.7866662
1.2,0.7999995
1.22,0.8133329
1.24,0.8266662
1.26,0.8399995
1.28,0.8533328
1.3,0.8666661
1.32,0.8799995
1.34,0.8933328
1.36,0.9066661
1.38,0.9199994
1.4,0.9333327
1.42,0.9466661
1.44,0.9599994
1.46,0.9733327
1.48,0.986666
1.5,0.9999993
1.52,1.013333
1.54,1.026666
1.56,1.039999
1.58,1.053333
1.6,1.066666
1.62,1.079999
1.64,1.093333
1.66,1.106666
1.68,1.119999
1.7,1.133333
1.72,1.146666
1.74,1.159999
1.76,1.173333
1.78,1.186666
1.8,1.199999
1.82,1.213333
1.84,1.226666
1.86,1.239999
1.88,1.253332
1.9,1.266666
1.92,1.279999
1.94,1.293332
1.96,1.306666
1.98,1.319999
2,1.333332
2.02,1.346666
2.04,1.359999
2.06,1.373332
2.08,1.386666
2.1,1.399999
2.12,1.413332
2.14,1.426666
2.16,1.439999
2.18,1.453332
2.2,1.466666
2.22,1.479999
2.24,1.493332
2.26,1.506666
2.28,1.519999
2.3,1.533332
2.32,1.546666
2.34,1.559999
2.36,1.573332
2.38,1.586666
2.4,1.599999
2.42,1.613332
2.44,1.626665
2.46,1.639999
2.48,1.653332
2.5,1.666665
2.52,1.679999
2.54,1.693332
2.56,1.706665
2.58,1.719999
2.6,1.733332
2.62,1.746665
2.64,1.759999
2.66,1.773332
2.68,1.786665
2.7,1.799999
2.72,1.813332
2.74,1.826665
2.76,1.839999
2.78,1.853332
2.8,1.866665
2.82,1.879999
2.84,1.893332
2.86,1.906665
2.88,1.919999
2.9,1.933332
2.92,1.946665
2.94,1.959998
2.96,1.973332
2.98,1.986665
3,1.999998
3.02,2.013332
3.04,2.013332
3.06,2.013332
3.08,2.013332
3.1,2.013332
3.12,2.013332
3.14,2.013332
3.16,2.013332
3.18,2.013332
3.2,2.013332
3.22,2.013332
3.24,2.013332
3.26,2.013332
3.28,2.013332
3.3,2.013332
3.32,2.013332
3.34,2.013332
3.36,2.013332
3.38,2.013332
3.4,2.013332
3.42,2.013332
3.44,2.013332
3.46,2.013332
3.48,2.013332
3.5,2.013332
3.52,2.013332
3.54,2.013332
3.56,2.013332
3.58,2.013332
3.6,2.013332
3.62,2.013332
3.64,2.013332
3.66,2.013332
3.68,2.013332
3.7,2.013332
3.72,2.013332
3.74,2.013332
3.76,2.013332
3.78,2.013332
3.8,2.013332
3.82,2.013332
3.84,2.013332
3.86,2.013332
3.88,2.013332
3.9,2.013332
3.92,2.013332
3.94,2.013332
3.96,2.013332
3.98,2.013332
4,2.013332
4.02,1.913332
4.04,1.813332
4.06,1.713332
4.08,1.613332
4.1,1.513332
4.12,1.413332
4.14,1.313332
4.16,1.213332
4.18,1.113332
4.2,1.013332
4.22,0.9133316
4.24,0.8133316
4.26,0.7133316
4.28,0.6133316
4.3,0.5133315
4.32,0.4133315
4.34,0.3133315
4.36,0.2133316
4.38,0.1133316
4.4,0.01333158
4.42,-0.08666842
4.44,-0.1866684
4.46,-0.2866684
4.48,-0.3866684
4.5,-0.4866684
4.52,-0.5866684
4.54,-0.6866685
4.56,-0.7866685
4.58,-0.8866685
4.6,-0.9866685
4.62,-1.086668
4.64,-1.186669
4.66,-1.286669
4.68,-1.386669
4.7,-1.486669
4.72,-1.586669
4.74,-1.686669
4.76,-1.786669
4.78,-1.886669
4.8,-1.986669
4.82,-2.086669
4.84,-2.186669
4.86,-2.186669
4.88,-2.186669
4.9,-2.186669
4.92,-2.186669
4.94,-2.186669
4.96,-2.186669
4.98,-2.186669
5,-2.186669
5.02,-2.186669
5.04,-2.186669
5.06,-2.186669
5.08,-2.186669
5.1,-2.186669
5.12,-2.186669
5.14,-2.186669
5.16,-2.186669
5.18,-2.186669
5.2,-2.186669
5.22,-2.186669
5.24,-2.186669
5.26,-2.186669
5.28,-2.186669
5.3,-2.186669
5.32,-2.186669
5.34,-2.186669
5.36,-2.186669
5.38,-2.186669
5.4,-2.186669
5.42,-2.186669
5.44,-2.186669
5.46,-2.186669
5.48,-2.186669
5.5,-2.186669
5.52,-2.186669
5.54,-2.186669
5.56,-2.186669
5.58,-2.186669
5.6,-2.186669
5.62,-2.186669
5.64,-2.186669
5.66,-2.186669
5.68,-2.186669
5.7,-2.186669
5.72,-2.186669
5.74,-2.186669
5.76,-2.186669
5.78,-2.186669
5.8,-2.186669
5.82,-2.186669
5.84,-2.186669
5.86,-2.186669
5.88,-2.186669
5.9,-2.186669
5.92,-2.186669
5.94,-2.186669
5.96,-2.186669
5.98,-2.186669
6,-2.186669
6.02,-2.186669
6.04,-2.186669
6.06,-2.186669
6.08,-2.186669
6.1,-2.186669
6.12,-2.186669
6.14,-2.186669
6.16,-2.186669
6.18,-2.186669
6.2,-2.186669
6.22,-2.186669
6.24,-2.186669
6.26,-2.186669
6.28,-2.186669
6.3,-2.186669
6.32,-2.186669
6.34,-2.186669
6.36,-2.186669
6.38,-2.186669
6.4,-2.186669
6.42,-2.186669
6.44,-2.186669
6.46,-2.186669
6.48,-2.186669
6.5,-2.186669
6.52,-2.186669
6.54,-2.186669
6.56,-2.186669
6.58,-2.186669
6.6,-2.186669
6.62,-2.186669
6.64,-2.186669
6.66,-2.186669
6.68,-2.186669
6.7,-2.186669
6.72,-2.186669
6.74,-2.186669
6.76,-2.186669
6.78,-2.186669
6.8,-2.186669
6.82,-2.186669
6.84,-2.186669
6.86,-2.186669
6.88,-2.186669
6.9,-2.186669
6.92,-2.186669
6.94,-2.186669
6.96,-2.186669
6.98,-2.186669
7,-2.186669
7.02,-2.186669
7.04,-2.186669
7.06,-2.186669
7.08,-2.186669
7.1,-2.186669
7.12,-2.186669
7.14,-2.186669
7.16,-2.186669
7.18,-2.186669
7.2,-2.186669
7.22,-2.186669
7.24,-2.186669
7.26,-2.186669
7.28,-2.186669
7.3,-2.186669
7.32,-2.186669
7.34,-2.186669
7.36,-2.186669
7.38,-2.186669
7.4,-2.186669
7.42,-2.186669
7.44,-2.186669
7.46,-2.186669
7.48,-2.186669
7.5,-2.186669
7.52,-1.093334
7.54,-1.093334
7.56,-1.093334
7.58,-1.093334
7.6,-1.093334
7.62,-1.093334
7.64,-1.093334
7.66,-1.093334
7.68,-1.093334
7.7,-1.093337
7.72,-1.093334
7.74,-1.093337
7.76,-1.093334
7.78,-1.093337
7.8,-1.093334
7.82,-1.093337
7.84,-1.093334
7.86,-1.093337
7.88,-1.093334
7.9,-1.093337
7.92,-1.093334
7.94,-1.093337
7.96,-1.093334
7.98,-1.093337
8,-1.093334
8.02,-1.093337
8.04,-1.093334
8.059999,-1.093337
8.08,-1.093334
8.099999,-1.093337
8.12,-1.093334
8.139999,-1.093337
8.16,-1.093334
8.179999,-1.093337
8.2,-1.093334
8.22,-1.093337
8.24,-1.093334
8.26,-1.093337
8.28,-1.093334
8.3,-1.093337
8.32,-1.093334
8.34,-1.093337
8.36,-1.093334
8.38,-1.093337
8.4,-1.093334
8.42,-1.093337
8.44,-1.093334
8.46,-1.093337
8.48,-1.093334
8.5,-1.093337
8.52,-1.093334
8.54,-1.093334
8.559999,-1.093334
8.58,-1.093334
8.599999,-1.093334
8.62,-1.093334
8.639999,-1.093334
8.66,-1.093334
8.679999,-1.093334
8.7,-1.093334
8.72,-1.093334
8.74,-1.093334
8.76,-1.093334
8.78,-1.093334
8.8,-1.093334
8.82,-1.093334
8.84,-1.093334
8.86,-1.093334
